_id,Project ID,Addresses,Anchor Address,Status,Ward Number,Ward Name,Affordable Homes Approved,Rent-Controlled Market Units Approved,RGI Homes Approved,geometry
149,ARH0214,835-841 Queen Street East,835 Queen St E,Pre-Planning,14,Toronto-Danforth,96,0,0,"{""coordinates"": [[-79.34403496, 43.65999345]], ""type"": ""MultiPoint""}"
150,ARH0215,838 - 844 Broadview Avenue,838 Broadview Ave,Approved Site Plan Application,14,Toronto-Danforth,2,0,0,"{""coordinates"": [[-79.35866499, 43.67863314]], ""type"": ""MultiPoint""}"
151,ARH0217,877 Yonge Street (Phase 1),877 Yonge St,Completed,11,University-Rosedale,0,0,88,"{""coordinates"": [[-79.38797583, 43.67425754]], ""type"": ""MultiPoint""}"
152,ARH0218,880 - 882 & 888 Eastern Avenue and 74 - 80 Knox Avenue,880 Eastern Ave,Planning Applications Under Review,14,Toronto-Danforth,6,0,0,"{""coordinates"": [[-79.325966, 43.662967]], ""type"": ""MultiPoint""}"
153,ARH0219,880-884 Kingston Road,884 Kingston Rd,Pre-Planning,19,Beaches-East York,20,0,0,"{""coordinates"": [[-79.29032179, 43.68043916]], ""type"": ""MultiPoint""}"
154,ARH0221,888 Dupont Street,888 Dupont St,Planning Applications Under Review,11,University-Rosedale,20,0,0,"{""coordinates"": [[-79.42892166, 43.67055435]], ""type"": ""MultiPoint""}"
155,ARH0223,"90 and 100 Simcoe Street, 130 Pearl Street, and 203, 207, and 211 Adelaide Street West",100 Simcoe St,Approved OPAs and Zoning By-Law Amendments,10,Spadina-Fort York,28,0,0,"{""coordinates"": [[-79.38676275, 43.64820052]], ""type"": ""MultiPoint""}"
156,ARH0224,900 Dufferin Street,900 Dufferin St,Planning Applications Under Review,9,Davenport,120,0,0,"{""coordinates"": [[-79.43536233, 43.65581706]], ""type"": ""MultiPoint""}"
157,ARH0225,930 Albion Road,930 Albion Rd,Planning Applications Under Review,1,Etobicoke North,60,0,0,"{""coordinates"": [[-79.56150718, 43.73575354]], ""type"": ""MultiPoint""}"
158,ARH0226,938-960 King Street West and 95-99 Strachan Avenue,950 King St W,Started Construction,10,Spadina-Fort York,40,0,0,"{""coordinates"": [[-79.41180491, 43.64228928]], ""type"": ""MultiPoint""}"
159,ARH0227,963-967 Pharmacy Avenue,963 Pharmacy Ave,Planning Applications Under Review,21,Scarborough Centre,8,0,0,"{""coordinates"": [[-79.30050342, 43.73485737]], ""type"": ""MultiPoint""}"
160,ARH0228,976 College Street,976 College St,Planning Applications Under Review,9,Davenport,19,0,0,"{""coordinates"": [[-79.427965, 43.65343336]], ""type"": ""MultiPoint""}"
161,ARH0230,175 Oak Street - Block 16N (Regent Park Phase 2 and 3),175 Oak St,Completed,13,Toronto Centre,24,0,0,"{""coordinates"": [[-79.36058855, 43.66205296]], ""type"": ""MultiPoint""}"
162,ARH0232,"Bloor-Kipling Block 3, 6, 7 (3741 Bloor Street West and part 925 Kipling Avenue)",5207 Dundas St W ,Planning Applications Under Review,3,Etobicoke-Lakeshore,441,490,49,"{""coordinates"": [[-79.53339886, 43.64010721]], ""type"": ""MultiPoint""}"
